[t=0] Log started.
[t=11] BUZZ: 5-1.15888
[t=11] BUZZ: 7-2.00931
[t=11] BUZZ: 6-3.78513
[t=11] BUZZ: 10-3.02936
[t=11] BUZZ: 13-4.10956
[t=11] BUZZ: 14-3.48593
[t=11] BUZZ: 15-3.43932
[t=11] BUZZ: 11-2.56779
[t=11] BUZZ: 9-2.67575
[t=11] BUZZ: 19-3.13392
[t=11] BUZZ: 17-4.09912
[t=11] BUZZ: 18-3.46676
[t=11] BUZZ: 16-3.20275
[t=11] BUZZ: 23-3.64456
[t=11] BUZZ: 24-3.09728
[t=11] BUZZ: 22-1.3609
[t=11] BUZZ: 26-3.35196
[t=11] BUZZ: 20-3.71416
[t=11] BUZZ: 21-1.6661
[t=11] BUZZ: 25-1.85865
[t=11] BUZZ: 32-3.66205
[t=11] BUZZ: 33-2.94779
[t=11] BUZZ: 31-3.78109
[t=11] BUZZ: 34-2.71334
[t=11] BUZZ: 29-2.3865
[t=11] BUZZ: 35-2.58328
[t=11] BUZZ: 8-0.715934
[t=11] BUZZ: 27-1.99871
[t=11] BUZZ: 39-2.4985
[t=11] BUZZ: 28-1.5167
[t=11] BUZZ: 38-2.56124
[t=11] BUZZ: 12-0.529393
[t=12] BUZZ: 30-5.4113
[t=12] BUZZ: 24-3.09728
[t=12] BUZZ: 37-3.83451
[t=12] BUZZ: 16-3.20275
[t=12] BUZZ: 20-3.71404
[t=12] BUZZ: 32-3.66205
[t=12] BUZZ: 4-4.23635
[t=12] BUZZ: 6-3.78513
[t=12] BUZZ: 17-4.09912
[t=12] BUZZ: 31-3.78109
[t=12] BUZZ: 10-3.02936
[t=12] BUZZ: 1-2.88517
[t=12] BUZZ: 13-4.10956
[t=12] BUZZ: 26-3.35196
[t=12] BUZZ: 18-3.4618
[t=12] BUZZ: 2-2.6853
[t=12] BUZZ: 9-2.67575
[t=12] BUZZ: 8-0.715934
[t=12] BUZZ: 19-3.13392
[t=12] BUZZ: 23-3.64456
[t=12] BUZZ: 22-1.3609
[t=12] BUZZ: 27-1.99871
[t=12] BUZZ: 21-1.6661
[t=12] BUZZ: 33-2.94779
[t=12] BUZZ: 34-2.71334
[t=12] BUZZ: 29-2.3865
[t=12] BUZZ: 35-2.58328
[t=12] BUZZ: 36-2.78463
[t=12] BUZZ: 38-2.56124
[t=12] BUZZ: 39-2.4985
[t=12] BUZZ: 0-2.92626
[t=12] BUZZ: 3-1.80147
[t=12] BUZZ: 5-1.15888
[t=12] BUZZ: 7-2.00931
[t=12] BUZZ: 14-3.48593
[t=12] BUZZ: 15-3.43788
[t=12] BUZZ: 11-2.56779
[t=12] BUZZ: 28-1.5167
[t=12] BUZZ: 25-1.85865
[t=12] BUZZ: 12-0.529393
[t=13] BUZZ: 37-3.83124
[t=13] BUZZ: 30-5.4113
[t=13] BUZZ: 33-2.94779
[t=13] BUZZ: 27-1.99871
[t=13] BUZZ: 21-1.6661
[t=13] BUZZ: 32-3.66205
[t=13] BUZZ: 31-3.78109
[t=13] BUZZ: 34-2.71334
[t=13] BUZZ: 29-2.3865
[t=13] BUZZ: 35-2.58328
[t=13] BUZZ: 36-2.78463
[t=13] BUZZ: 38-2.56124
[t=13] BUZZ: 39-2.4985
[t=13] BUZZ: 0-2.92626
[t=13] BUZZ: 1-2.88517
[t=13] BUZZ: 2-2.6853
[t=13] BUZZ: 4-4.23635
[t=13] BUZZ: 5-1.15888
[t=13] BUZZ: 7-2.00931
[t=13] BUZZ: 6-3.78513
[t=13] BUZZ: 10-3.02936
[t=13] BUZZ: 13-4.10956
[t=13] BUZZ: 14-3.48593
[t=13] BUZZ: 15-3.43645
[t=13] BUZZ: 11-2.56779
[t=13] BUZZ: 9-2.67575
[t=13] BUZZ: 8-0.715934
[t=13] BUZZ: 19-3.13392
[t=13] BUZZ: 17-4.09912
[t=13] BUZZ: 18-3.45683
[t=13] BUZZ: 16-3.20275
[t=13] BUZZ: 23-3.64456
[t=13] BUZZ: 24-3.09728
[t=13] BUZZ: 26-3.35196
[t=13] BUZZ: 20-3.71394
[t=13] BUZZ: 22-1.3609
[t=13] BUZZ: 28-1.5167
[t=13] BUZZ: 12-0.529393
[t=13] BUZZ: 25-1.85865
[t=13] BUZZ: 3-1.79668
[t=14] BUZZ: 13-4.10508
[t=14] BUZZ: 4-4.23635
[t=14] BUZZ: 36-2.78463
[t=14] BUZZ: 37-3.82797
[t=14] BUZZ: 1-2.88517
[t=14] BUZZ: 2-2.6853
[t=14] BUZZ: 5-1.15888
[t=14] BUZZ: 7-2.00931
[t=14] BUZZ: 6-3.78513
[t=14] BUZZ: 10-3.02936
[t=14] BUZZ: 14-3.48593
[t=14] BUZZ: 15-3.43503
[t=14] BUZZ: 11-2.56779
[t=14] BUZZ: 9-2.67575
[t=14] BUZZ: 8-0.715934
[t=14] BUZZ: 12-0.529393
